MMSI, 선명, 선박유형
440328880, 209HYUNDAI,80
441206000, 207_GEUM_HAE,30
441272000, 206_GEUM_HAE,30
440105770, 153_EUN_HYE_HO,52
440052560, 15_YOUNG_SIN,52
440331080, 13DAEYANG,80
440103790, 13DAESIN,80
440147870, 102_SAMYANGCN,200
440104470, 101_YOUNG_JIN,80
440150840, 1001_JONG_YEONG,31
440100886,120,0
